"","xgboost","cubist","deepLearning","rf","LSTM","avg","median","real_peak"
"30",2017-01-30 17:55:00,2017-01-30 19:20:00,2017-01-30 20:55:00,2017-01-30 19:40:00,2017-01-30 19:55:00,2017-01-30 19:42:00,2017-01-30 20:40:00,2017-01-30 18:55:00
"31",2017-01-31 20:00:00,2017-01-31 19:15:00,2017-01-31 19:55:00,2017-01-31 19:30:00,2017-01-31 20:35:00,2017-01-31 19:52:00,2017-01-31 20:40:00,2017-01-31 20:20:00
"32",2017-02-01 18:05:00,2017-02-01 19:00:00,2017-02-01 16:00:00,2017-02-01 17:45:00,2017-02-01 19:00:00,2017-02-01 18:06:00,2017-02-01 19:40:00,2017-02-01 18:45:00
"33",2017-02-02 19:40:00,2017-02-02 20:00:00,2017-02-02 21:10:00,2017-02-02 19:45:00,2017-02-02 20:40:00,2017-02-02 20:15:00,2017-02-02 20:40:00,2017-02-02 20:25:00
"34",2017-02-03 21:00:00,2017-02-03 20:00:00,2017-02-03 21:30:00,2017-02-03 21:00:00,2017-02-03 21:00:00,2017-02-03 20:50:00,2017-02-03 20:40:00,2017-02-03 18:35:00
"35",2017-02-04 20:00:00,2017-02-04 18:40:00,2017-02-04 18:55:00,2017-02-04 20:00:00,2017-02-04 18:55:00,2017-02-04 19:30:00,2017-02-04 19:55:00,2017-02-04 18:30:00
"36",2017-02-05 19:20:00,2017-02-05 20:00:00,2017-02-05 17:55:00,2017-02-05 19:10:00,2017-02-05 20:00:00,2017-02-05 19:25:00,2017-02-05 20:40:00,2017-02-05 18:30:00
"37",2017-02-06 18:30:00,2017-02-06 19:25:00,2017-02-06 18:55:00,2017-02-06 18:55:00,2017-02-06 19:40:00,2017-02-06 19:17:00,2017-02-06 20:40:00,2017-02-06 20:00:00
"38",2017-02-07 19:10:00,2017-02-07 19:25:00,2017-02-07 21:00:00,2017-02-07 19:40:00,2017-02-07 20:40:00,2017-02-07 19:59:00,2017-02-07 20:40:00,2017-02-07 20:00:00
"39",2017-02-08 20:00:00,2017-02-08 20:00:00,2017-02-08 19:55:00,2017-02-08 20:00:00,2017-02-08 20:05:00,2017-02-08 20:00:00,2017-02-08 20:05:00,2017-02-08 20:05:00
"40",2017-02-09 19:20:00,2017-02-09 19:40:00,2017-02-09 20:35:00,2017-02-09 19:20:00,2017-02-09 19:45:00,2017-02-09 19:55:00,2017-02-09 20:40:00,2017-02-09 19:30:00
"41",2017-02-10 18:35:00,2017-02-10 19:20:00,2017-02-10 11:55:00,2017-02-10 18:30:00,2017-02-10 19:20:00,2017-02-10 17:48:00,2017-02-10 20:40:00,2017-02-10 19:10:00
"42",2017-02-11 18:25:00,2017-02-11 18:55:00,2017-02-11 18:00:00,2017-02-11 18:35:00,2017-02-11 19:45:00,2017-02-11 18:46:00,2017-02-11 19:55:00,2017-02-11 18:40:00
"43",2017-02-12 18:45:00,2017-02-12 20:00:00,2017-02-12 20:00:00,2017-02-12 19:05:00,2017-02-12 20:05:00,2017-02-12 19:42:00,2017-02-12 20:40:00,2017-02-12 18:45:00
"44",2017-02-13 18:45:00,2017-02-13 19:05:00,2017-02-13 21:55:00,2017-02-13 18:55:00,2017-02-13 20:35:00,2017-02-13 19:52:00,2017-02-13 20:40:00,2017-02-13 19:55:00
