"","xgboost","cubist","deepLearning","rf","LSTM","avg","median","real_peak"
"30",2017-01-30 13:55:00,2017-01-30 17:25:00,2017-01-30 20:25:00,2017-01-30 17:55:00,2017-01-30 20:35:00,2017-01-30 18:04:00,2017-01-30 20:40:00,2017-01-30 18:55:00
"31",2017-01-31 17:40:00,2017-01-31 18:55:00,2017-01-31 18:45:00,2017-01-31 17:55:00,2017-01-31 19:55:00,2017-01-31 18:47:00,2017-01-31 20:40:00,2017-01-31 20:20:00
"32",2017-02-01 18:30:00,2017-02-01 19:00:00,2017-02-01 20:55:00,2017-02-01 18:00:00,2017-02-01 19:00:00,2017-02-01 19:13:00,2017-02-01 19:40:00,2017-02-01 18:45:00
"33",2017-02-02 18:20:00,2017-02-02 20:00:00,2017-02-02 20:10:00,2017-02-02 19:35:00,2017-02-02 20:05:00,2017-02-02 19:45:00,2017-02-02 20:40:00,2017-02-02 20:25:00
"34",2017-02-03 20:00:00,2017-02-03 20:00:00,2017-02-03 19:05:00,2017-02-03 21:00:00,2017-02-03 20:00:00,2017-02-03 20:09:00,2017-02-03 20:40:00,2017-02-03 18:35:00
"35",2017-02-04 16:50:00,2017-02-04 20:00:00,2017-02-04 17:10:00,2017-02-04 17:55:00,2017-02-04 20:00:00,2017-02-04 18:22:00,2017-02-04 19:55:00,2017-02-04 18:30:00
"36",2017-02-05 18:00:00,2017-02-05 20:00:00,2017-02-05 19:55:00,2017-02-05 19:05:00,2017-02-05 20:00:00,2017-02-05 19:32:00,2017-02-05 20:40:00,2017-02-05 18:30:00
"37",2017-02-06 19:20:00,2017-02-06 19:45:00,2017-02-06 20:20:00,2017-02-06 18:55:00,2017-02-06 19:55:00,2017-02-06 19:48:00,2017-02-06 20:40:00,2017-02-06 20:00:00
"38",2017-02-07 19:50:00,2017-02-07 20:25:00,2017-02-07 17:55:00,2017-02-07 20:00:00,2017-02-07 20:00:00,2017-02-07 19:46:00,2017-02-07 20:40:00,2017-02-07 20:00:00
"39",2017-02-08 19:15:00,2017-02-08 19:35:00,2017-02-08 19:40:00,2017-02-08 19:40:00,2017-02-08 19:55:00,2017-02-08 19:39:00,2017-02-08 20:05:00,2017-02-08 20:05:00
