"","xgboost","cubist","deepLearning","rf","LSTM","avg","median"
"317",NA,NA,NA,NA,NA,NA,NA
"318",NA,NA,NA,NA,NA,NA,NA
"319",NA,NA,NA,NA,0,10,10
"320",NA,NA,20,NA,NA,NA,NA
"321",5,NA,-10,-15,NA,-15,NA
"322",NA,NA,NA,NA,NA,NA,NA
"323",NA,NA,-15,NA,NA,NA,NA
"324",NA,0,NA,NA,NA,NA,NA
"325",NA,NA,NA,NA,25,NA,-15
"326",NA,NA,NA,NA,NA,NA,NA
"327",NA,NA,NA,NA,NA,NA,NA
"328",NA,NA,NA,NA,0,NA,-10
"329",NA,NA,NA,NA,NA,NA,NA
"330",NA,NA,NA,NA,NA,NA,NA
"331",NA,-30,NA,NA,-30,NA,NA
"332",NA,NA,-15,NA,-5,NA,-20
"333",15,10,NA,15,NA,10,NA
"334",NA,NA,NA,5,NA,5,NA
"335",10,NA,NA,5,NA,5,NA
"336",NA,0,NA,-10,NA,NA,NA
"337",NA,-20,-30,NA,NA,NA,NA
"338",NA,NA,NA,NA,NA,NA,NA
"339",5,NA,NA,NA,NA,NA,NA
"340",NA,NA,25,NA,NA,NA,NA
"341",NA,NA,NA,NA,NA,NA,NA
"342",NA,NA,NA,NA,NA,NA,NA
"343",NA,15,NA,NA,NA,15,NA
"344",0,NA,NA,-10,NA,NA,NA
"345",NA,NA,NA,0,25,NA,5
"346",10,5,NA,5,NA,5,NA
"347",NA,-20,NA,-20,-20,-20,NA
"348",NA,NA,NA,NA,-10,NA,NA
"349",NA,25,25,NA,NA,25,NA
"350",NA,NA,NA,NA,NA,NA,NA
"351",NA,NA,NA,10,NA,10,NA
"352",NA,NA,NA,NA,5,NA,NA
"353",NA,NA,NA,NA,-5,NA,NA
"354",NA,NA,NA,NA,NA,NA,NA
"355",-20,-20,NA,NA,-20,-20,NA
"356",NA,NA,5,NA,5,NA,10
"357",NA,NA,NA,NA,NA,NA,NA
"358",-15,NA,NA,15,NA,NA,NA
"359",NA,NA,NA,NA,NA,NA,NA
"360",NA,20,NA,-10,NA,-10,NA
"361",-5,-10,NA,NA,NA,-10,NA
"362",NA,NA,NA,NA,NA,NA,NA
"363",NA,-5,-5,10,NA,-5,NA
"364",0,15,NA,20,NA,0,NA
"365",0,-10,NA,10,NA,-10,NA
