"","xgboost","cubist","deepLearning","rf","LSTM","NA","NA"
"1",20,35,2.41666666666667,5,2.16666666666667,35,2.75
"2",-6.58333333333333,-3.58333333333333,-40,-6.58333333333333,35,-3.58333333333333,3.41666666666667
